|World|World Rolling Mean (10)|Barcelona|Barcelona Rolling Mean (10)
1743|||13,81|
1744|||16,98|
1745|||10,78|
1746||||
1747||||
1748||||
1749||||
1750|8,72||16,52|
1751|7,98||16,78|
1752|5,78||13,09|
1753|8,39||16,17|
1754|8,47||16,09|
1755|8,36||15,80|
1756|8,85||16,11|
1757|9,02||15,88|
1758|6,74||15,04|
1759|7,99|8,03|16,19|15,77
1760|7,19|7,88|15,91|15,71
1761|8,77|7,96|16,25|15,65
1762|8,61|8,24|16,13|15,96
1763|7,50|8,15|15,65|15,90
1764|8,40|8,14|16,21|15,92
1765|8,25|8,13|16,19|15,96
1766|8,41|8,09|16,06|15,95
1767|8,22|8,01|15,97|15,96
1768|6,78|8,01|15,49|16,00
1769|7,69|7,98|15,94|15,98
1770|7,69|8,03|15,80|15,97
1771|7,85|7,94|16,30|15,97
1772|8,19|7,90|17,21|16,08
1773|8,22|7,97|15,84|16,10
1774|8,77|8,01|16,33|16,11
1775|9,18|8,10|16,55|16,15
1776|8,30|8,09|16,10|16,15
1777|8,26|8,09|15,87|16,14
1778|8,54|8,27|16,38|16,23
1779|8,98|8,40|16,55|16,29
1780|9,43|8,57|16,78|16,39
1781|8,10|8,60|16,65|16,43
1782|7,90|8,57|15,55|16,26
1783|7,68|8,51|16,26|16,30
1784|7,86|8,42|15,83|16,25
1785|7,36|8,24|15,68|16,16
1786|8,26|8,24|16,03|16,16
1787|8,03|8,21|16,25|16,20
1788|8,45|8,21|16,67|16,23
1789|8,33|8,14|15,46|16,12
1790|7,98|8,00|16,36|16,07
1791|8,23|8,01|16,41|16,05
1792|8,09|8,03|16,22|16,12
1793|8,23|8,08|16,15|16,11
1794|8,53|8,15|16,28|16,15
1795|8,35|8,25|16,10|16,19
1796|8,27|8,25|16,07|16,20
1797|8,51|8,30|16,02|16,17
1798|8,67|8,32|16,19|16,13
1799|8,51|8,34|15,63|16,14
1800|8,48|8,39|16,63|16,17
1801|8,59|8,42|16,49|16,18
1802|8,58|8,47|16,72|16,23
1803|8,50|8,50|16,26|16,24
1804|8,84|8,53|16,71|16,28
1805|8,56|8,55|15,44|16,22
1806|8,43|8,57|16,40|16,25
1807|8,28|8,54|16,01|16,25
1808|7,63|8,44|14,96|16,12
1809|7,08|8,30|15,41|16,10
1810|6,92|8,14|15,40|15,98
1811|6,86|7,97|16,02|15,93
1812|7,05|7,82|15,00|15,76
1813|7,74|7,74|15,39|15,67
1814|7,59|7,61|14,86|15,49
1815|7,24|7,48|15,64|15,51
1816|6,94|7,33|14,81|15,35
1817|6,98|7,20|15,96|15,34
1818|7,83|7,22|16,29|15,48
1819|7,37|7,25|15,89|15,53
1820|7,62|7,32|15,73|15,56
1821|8,09|7,45|16,17|15,57
1822|8,19|7,56|16,70|15,74
1823|7,72|7,56|15,71|15,78
1824|8,55|7,65|16,05|15,89
1825|8,39|7,77|16,33|15,96
1826|8,36|7,91|15,95|16,08
1827|8,81|8,09|15,86|16,07
1828|8,17|8,13|16,53|16,09
1829|7,94|8,18|15,30|16,03
1830|8,52|8,27|15,97|16,06
1831|7,64|8,23|16,23|16,06
1832|7,45|8,16|15,92|15,98
1833|8,01|8,18|15,83|16,00
1834|8,15|8,14|16,68|16,06
1835|7,39|8,04|15,43|15,97
1836|7,70|7,98|15,50|15,92
1837|7,38|7,84|15,45|15,88
1838|7,51|7,77|15,86|15,82
1839|7,63|7,74|15,93|15,88
1840|7,80|7,67|15,77|15,86
1841|7,69|7,67|16,07|15,84
1842|8,02|7,73|15,88|15,84
1843|8,17|7,74|15,98|15,85
1844|7,65|7,69|15,95|15,78
1845|7,85|7,74|15,70|15,81
1846|8,55|7,83|16,64|15,92
1847|8,09|7,90|15,84|15,96
1848|7,98|7,94|15,66|15,94
1849|7,98|7,98|16,04|15,95
1850|7,90|7,99|15,65|15,94
1851|8,18|8,04|15,37|15,87
1852|8,10|8,05|16,39|15,92
1853|8,04|8,03|15,23|15,85
1854|8,21|8,09|15,62|15,81
1855|8,11|8,11|15,35|15,78
1856|8,00|8,06|16,21|15,74
1857|7,76|8,03|15,82|15,73
1858|8,10|8,04|16,20|15,79
1859|8,25|8,07|16,08|15,79
1860|7,96|8,07|15,01|15,73
